(training) gnorm,(training) pnorm,epoch,lr,step,train_epoch_loss,train_epoch_r2,train_epoch_time,train_step_loss,val_epoch_loss,val_epoch_r2,val_epoch_time
,,0.0,,16,240.48394775390625,-236.52305603027344,0.7775466442108154,,21.183332443237305,-22.378829956054688,0.1047525405883789
,,1.0,,33,9.177925109863281,-8.617674827575684,0.7743494510650635,,7.759260654449463,-7.579160690307617,0.10527443885803223
10.0,218.76651000976562,2,0.0009607999818399549,49,,,,9.687005043029785,,,
,,2.0,,50,13.890408515930176,-13.055949211120605,0.7722146511077881,,4.879333019256592,-4.279755592346191,0.10549616813659668
,,3.0,,67,2.61484432220459,-1.6264004707336426,0.7718613147735596,,2.4709384441375732,-1.6666311025619507,0.1047372817993164
,,4.0,,84,2.179241895675659,-1.1748234033584595,0.7745754718780518,,2.543673038482666,-1.7438558340072632,0.10589838027954102
10.0,218.77296447753906,5,0.0009208000265061855,99,,,,1.12712562084198,,,
,,5.0,,101,3.1608943939208984,-2.136504888534546,0.7725527286529541,,2.2581851482391357,-1.4979411363601685,0.1053457260131836
,,6.0,,118,6.802143096923828,-5.716488361358643,0.7712130546569824,,13.785361289978027,-14.199958801269531,0.10507011413574219
,,7.0,,135,2.7783758640289307,-1.7908620834350586,0.7735068798065186,,4.177673816680908,-3.624898672103882,0.10486817359924316
10.0,218.78956604003906,8,0.0008808000129647553,149,,,,1.472161889076233,,,
,,8.0,,152,4.2405242919921875,-3.2605628967285156,0.7722506523132324,,1.0909501314163208,-0.18971924483776093,0.1046590805053711
,,9.0,,169,1.4590774774551392,-0.4465205669403076,0.7709877490997314,,1.18947172164917,-0.29096245765686035,0.10487484931945801
,,10.0,,186,1.1793031692504883,-0.1868697553873062,0.7716107368469238,,1.1115046739578247,-0.20277433097362518,0.10545182228088379
9.999998092651367,218.79165649414062,11,0.0008407999994233251,199,,,,1.3058563470840454,,,
,,11.0,,203,1.1120290756225586,-0.13317711651325226,0.7705438137054443,,1.1095186471939087,-0.1967736929655075,0.10518026351928711
,,12.0,,220,1.8853533267974854,-0.9164643287658691,0.773608922958374,,3.8901901245117188,-3.1946651935577393,0.10525655746459961
,,13.0,,237,2.232940673828125,-1.2551450729370117,0.7719650268554688,,1.326738953590393,-0.43020689487457275,0.10480976104736328
9.999999046325684,218.79640197753906,14,0.0008007999858818948,249,,,,1.4975677728652954,,,
,,14.0,,254,1.5445226430892944,-0.5293551087379456,0.7723793983459473,,0.9674302935600281,-0.04821411892771721,0.10500526428222656
,,15.0,,271,2.7038822174072266,-1.7220683097839355,0.7747335433959961,,2.5023744106292725,-1.7683391571044922,0.10483145713806152
,,16.0,,288,1.3378682136535645,-0.342374324798584,0.7764661312103271,,0.9718523025512695,-0.05714450404047966,0.1054837703704834
9.999999046325684,218.7978515625,17,0.0007607999723404646,299,,,,1.8150558471679688,,,
,,17.0,,305,2.226348876953125,-1.244914174079895,0.7774138450622559,,1.1860910654067993,-0.2719602882862091,0.10539841651916504
,,18.0,,322,1.5211187601089478,-0.522619903087616,0.7767295837402344,,1.0603779554367065,-0.14214472472667694,0.10529446601867676
,,19.0,,339,1.2897371053695679,-0.307719349861145,0.7790286540985107,,2.5906918048858643,-1.8711093664169312,0.10731887817382812
10.0,218.797607421875,20,0.0007208000170066953,349,,,,1.2401208877563477,,,
,,20.0,,356,1.2026658058166504,-0.19965118169784546,0.7765705585479736,,1.0135351419448853,-0.10590904951095581,0.10582184791564941
,,21.0,,373,1.325826644897461,-0.3450934588909149,0.7777857780456543,,1.699661374092102,-0.8266022801399231,0.11183571815490723
,,22.0,,390,1.6889300346374512,-0.686923086643219,0.8099563121795654,,1.5160999298095703,-0.6317664384841919,0.11124277114868164
10.000000953674316,218.7984619140625,23,0.000680800003465265,399,,,,1.595641851425171,,,
,,23.0,,407,1.4540549516677856,-0.4630398750305176,0.8104498386383057,,1.0089753866195679,-0.0822877511382103,0.11043930053710938
,,24.0,,424,1.3277226686477661,-0.3400426208972931,0.8127458095550537,,1.2127882242202759,-0.33107638359069824,0.11075735092163086
,,25.0,,441,1.349994421005249,-0.3523103892803192,0.8088469505310059,,1.5193947553634644,-0.6764222979545593,0.11067390441894531
10.0,218.7974395751953,26,0.0006407999899238348,449,,,,1.2095552682876587,,,
,,26.0,,458,1.3235514163970947,-0.3262954354286194,0.8039669990539551,,1.3424535989761353,-0.4787323474884033,0.11028885841369629
