(training) gnorm,(training) pnorm,epoch,lr,step,train_epoch_loss,train_epoch_r2,train_epoch_time,train_step_loss,val_epoch_loss,val_epoch_r2,val_epoch_time
,,0.0,,16,2492006144.0,-2369593600.0,3.117363452911377,,1871295.875,-2045634.0,0.3327770233154297
,,1.0,,33,895300.1875,-917007.5,2.6808629035949707,,25656.361328125,-27996.994140625,0.33270931243896484
10.0,173.4350128173828,2,0.0009607999818399549,49,,,,16748.412109375,,,
,,2.0,,50,229037.375,-227736.984375,2.7041122913360596,,26992.396484375,-29437.384765625,0.33286142349243164
,,3.0,,67,4549.72607421875,-4586.43994140625,2.264444351196289,,166.49365234375,-179.4302978515625,0.33306431770324707
,,4.0,,84,1430.1397705078125,-1430.590087890625,2.2651264667510986,,93.8160400390625,-101.48651123046875,0.3333015441894531
10.0,173.36605834960938,5,0.0009208000265061855,99,,,,7997.30859375,,,
,,5.0,,101,6191.83447265625,-6279.45654296875,2.2660233974456787,,177.69386291503906,-192.3788299560547,0.3328549861907959
,,6.0,,118,87.14923858642578,-86.90923309326172,2.265742540359497,,9.12362003326416,-8.942744255065918,0.3361327648162842
,,7.0,,135,32.97553634643555,-32.930328369140625,2.2667229175567627,,7.430332660675049,-7.039987087249756,0.3331737518310547
10.000000953674316,173.2647247314453,8,0.0008808000129647553,149,,,,128.68264770507812,,,
,,8.0,,152,49.40092849731445,-49.66476821899414,2.266069173812866,,7.53840970993042,-7.191068649291992,0.33283472061157227
,,9.0,,169,10.785968780517578,-10.484353065490723,2.265580654144287,,16.985679626464844,-17.51954460144043,0.3331260681152344
,,10.0,,186,27.16777229309082,-25.415672302246094,2.2696142196655273,,1354.906494140625,-1477.4619140625,0.333172082901001
10.0,173.1940155029297,11,0.0008407999994233251,199,,,,59.518638610839844,,,
,,11.0,,203,380.4571228027344,-391.6270751953125,2.264970541000366,,2.5767648220062256,-1.8333033323287964,0.3336520195007324
,,12.0,,220,11.577288627624512,-10.462458610534668,2.2680509090423584,,12.1632080078125,-12.137919425964355,0.33353114128112793
,,13.0,,237,9.372028350830078,-8.343873977661133,2.264967441558838,,4.458371639251709,-3.8537070751190186,0.3329894542694092
10.0,173.15342712402344,14,0.0008007999858818948,249,,,,9.891753196716309,,,
,,14.0,,254,9.923617362976074,-9.162372589111328,2.2645905017852783,,8.877204895019531,-8.761659622192383,0.33292222023010254
,,15.0,,271,69.98981475830078,-68.16116333007812,2.263841152191162,,2.0831894874572754,-1.2595540285110474,0.3328378200531006
,,16.0,,288,3.131437301635742,-2.1431186199188232,2.264010429382324,,1.8659296035766602,-1.0074464082717896,0.33341550827026367
10.0,173.10403442382812,17,0.0007607999723404646,299,,,,26.930931091308594,,,
,,17.0,,305,6.690891742706299,-5.741631031036377,2.263942241668701,,2.439754009246826,-1.7032241821289062,0.33398938179016113
,,18.0,,322,6.236967086791992,-5.262171268463135,2.2650983333587646,,10.229161262512207,-10.115499496459961,0.33315491676330566
,,19.0,,339,6.948235988616943,-5.867140769958496,2.265611171722412,,1.1973124742507935,-0.28772565722465515,0.3329157829284668
10.0,173.07266235351562,20,0.0007208000170066953,349,,,,9.787300109863281,,,
,,20.0,,356,4.244417667388916,-3.24955153465271,2.2648284435272217,,11.414881706237793,-11.555628776550293,0.33319592475891113
,,21.0,,373,3.028141736984253,-2.0515010356903076,2.278449773788452,,1.0480777025222778,-0.14614112675189972,0.3357994556427002
,,22.0,,390,1.130456566810608,-0.1332218497991562,2.28564190864563,,1.0993375778198242,-0.1935935765504837,0.3355519771575928
9.999999046325684,173.03536987304688,23,0.000680800003465265,399,,,,1.3269636631011963,,,
,,23.0,,407,1.1353694200515747,-0.13951899111270905,2.287076950073242,,0.9827491641044617,-0.0702451840043068,0.33584070205688477
,,24.0,,424,1.0363764762878418,-0.04577639698982239,2.288943290710449,,1.0537093877792358,-0.13966484367847443,0.33632493019104004
,,25.0,,441,1.0345059633255005,-0.04052494466304779,2.2844207286834717,,1.6856006383895874,-0.8533490300178528,0.335033655166626
10.000000953674316,172.9949951171875,26,0.0006407999899238348,449,,,,1.0628516674041748,,,
,,26.0,,458,1.8606876134872437,-0.9218683838844299,2.2855284214019775,,0.9633787274360657,-0.04457859322428703,0.3367459774017334
,,27.0,,475,1.0400886535644531,-0.042372673749923706,2.285379648208618,,1.013975977897644,-0.10309052467346191,0.336212158203125
,,28.0,,492,1.019953966140747,-0.020763250067830086,2.288285255432129,,0.9626653790473938,-0.042471885681152344,0.33534884452819824
9.999999046325684,172.9696044921875,29,0.0006007999763824046,499,,,,1.0641093254089355,,,
,,29.0,,509,1.0344611406326294,-0.02139270305633545,2.284823179244995,,0.9536071419715881,-0.0333787202835083,0.33574438095092773
,,30.0,,526,1.0059738159179688,-0.013173222541809082,2.285374879837036,,0.9589464664459229,-0.0406692810356617,0.3361361026763916
,,31.0,,543,0.9896159172058105,-0.0054402598179876804,2.282681703567505,,0.9605758786201477,-0.04002070426940918,0.3349933624267578
9.999999046325684,172.95498657226562,32,0.0005608000210486352,549,,,,1.0097224712371826,,,
,,32.0,,560,1.0254406929016113,-0.021345369517803192,2.2852721214294434,,0.9590685963630676,-0.03990451619029045,0.3363046646118164
,,33.0,,577,1.0191845893859863,-0.013177468441426754,2.283339500427246,,0.9671085476875305,-0.04775138571858406,0.3354935646057129
,,34.0,,594,1.0156137943267822,-0.007937880232930183,2.285184860229492,,0.9657532572746277,-0.04867009446024895,0.33580684661865234
2.13665771484375,172.94732666015625,35,0.000520800007507205,599,,,,1.096043348312378,,,
,,35.0,,611,1.000932216644287,-0.00757288234308362,2.28652024269104,,0.9643636345863342,-0.04746707156300545,0.3354005813598633
,,36.0,,628,1.00552499294281,-0.008521714247763157,2.286808490753174,,0.9602892398834229,-0.041786789894104004,0.335676908493042
,,37.0,,645,1.0049303770065308,-0.013302389532327652,2.7334094047546387,,0.9707790017127991,-0.05449831485748291,0.3346998691558838
3.6998047828674316,172.94570922851562,38,0.0004807999939657748,649,,,,0.9501975774765015,,,
,,38.0,,662,1.0107336044311523,-0.006799501366913319,2.284874677658081,,0.9617705941200256,-0.04305608943104744,0.33848023414611816
,,39.0,,679,1.002916693687439,-0.005838748067617416,2.2844901084899902,,0.9681300520896912,-0.04994885250926018,0.33495426177978516
