(training) gnorm,(training) pnorm,epoch,lr,step,train_epoch_loss,train_epoch_r2,train_epoch_time,train_step_loss,val_epoch_loss,val_epoch_r2,val_epoch_time
10.0,125.57368469238281,0,0.0009607999818399549,49,,,,5.271415710449219,,,
10.0,125.5818099975586,0,0.0009208000265061855,99,,,,1.102039098739624,,,
9.999999046325684,125.5887680053711,0,0.0008808000129647553,149,,,,1.9505441188812256,,,
9.999999046325684,125.59384155273438,0,0.0008407999994233251,199,,,,1.097556710243225,,,
,,0.0,,205,19.07505989074707,-18.17812156677246,5.180081367492676,,2.52817440032959,-1.5341087579727173,0.6751589775085449
10.0,125.59862518310547,1,0.0008007999858818948,249,,,,0.9912288188934326,,,
9.999999046325684,125.60385131835938,1,0.0007607999723404646,299,,,,0.9887560606002808,,,
10.0,125.60660552978516,1,0.0007208000170066953,349,,,,1.111969232559204,,,
10.000000953674316,125.6084213256836,1,0.000680800003465265,399,,,,1.3173325061798096,,,
,,1.0,,411,1.2309818267822266,-0.24285255372524261,5.185437202453613,,1.0294877290725708,-0.024920007213950157,0.6790428161621094
10.0,125.6100082397461,2,0.0006407999899238348,449,,,,1.03121817111969,,,
9.999999046325684,125.6112289428711,2,0.0006007999763824046,499,,,,1.1521393060684204,,,
6.200963020324707,125.61182403564453,2,0.0005608000210486352,549,,,,1.1599887609481812,,,
10.000000953674316,125.61331176757812,2,0.000520800007507205,599,,,,1.1533215045928955,,,
,,2.0,,617,1.0876871347427368,-0.09867540746927261,5.208688735961914,,1.0230956077575684,-0.018301645293831825,0.676135778427124
10.0,125.61449432373047,3,0.0004807999939657748,649,,,,1.1112589836120605,,,
10.000000953674316,125.61483764648438,3,0.000440800009528175,699,,,,1.0215600728988647,,,
3.6096432209014893,125.6156997680664,3,0.00040079999598674476,749,,,,0.9723163843154907,,,
9.999999046325684,125.6164321899414,3,0.000360800011549145,799,,,,1.152573823928833,,,
,,3.0,,823,1.0280731916427612,-0.036964040249586105,5.209079742431641,,1.032366156578064,-0.028007736429572105,0.6789069175720215
9.999999046325684,125.61746215820312,4,0.00032079999800771475,849,,,,1.1581578254699707,,,
10.0,125.61730194091797,4,0.00028080001357011497,899,,,,0.908191442489624,,,
10.000001907348633,125.61766815185547,4,0.00024080000002868474,949,,,,1.0658066272735596,,,
9.999999046325684,125.61819458007812,4,0.00020080000103916973,999,,,,1.112791657447815,,,
,,4.0,,1029,1.0194722414016724,-0.028755275532603264,5.283614158630371,,1.0281304121017456,-0.023617345839738846,0.6865584850311279
10.0,125.6186294555664,5,0.00023920000239741057,1049,,,,1.1304415464401245,,,
10.0,125.61903381347656,5,0.0002792000013869256,1099,,,,0.8892642855644226,,,
9.999998092651367,125.6192626953125,5,0.00031919998582452536,1149,,,,1.3243014812469482,,,
10.0,125.61961364746094,5,0.0003591999993659556,1199,,,,1.1859214305877686,,,
,,5.0,,1235,1.0180107355117798,-0.026228738948702812,5.3399763107299805,,1.0598689317703247,-0.05570806935429573,0.6985187530517578
9.999999046325684,125.62165832519531,6,0.0003992000129073858,1249,,,,1.0520931482315063,,,
7.082719802856445,125.6240463256836,6,0.0004391999973449856,1299,,,,1.0928659439086914,,,
10.0,125.62520599365234,6,0.00047920001088641584,1349,,,,1.1061640977859497,,,
10.0,125.62643432617188,6,0.0005191999953240156,1399,,,,1.220587968826294,,,
,,6.0,,1441,1.0331817865371704,-0.041180044412612915,5.3838958740234375,,1.0375863313674927,-0.033389464020729065,0.6815831661224365
9.999999046325684,125.62987518310547,7,0.0005592000088654459,1449,,,,1.3361437320709229,,,
10.0,125.63272094726562,7,0.0005992000224068761,1499,,,,1.1481455564498901,,,
10.0,125.63355255126953,7,0.0006391999777406454,1549,,,,0.9498034119606018,,,
10.0,125.6343765258789,7,0.0006791999912820756,1599,,,,0.9857038259506226,,,
,,7.0,,1647,1.0494130849838257,-0.05860288068652153,5.359101295471191,,1.074148178100586,-0.07008377462625504,0.6881213188171387
9.999999046325684,125.6365737915039,8,0.0007192000048235059,1649,,,,1.177067518234253,,,
10.000000953674316,125.63796997070312,8,0.0007592000183649361,1699,,,,1.0669662952423096,,,
9.999999046325684,125.64128112792969,8,0.0007991999736987054,1749,,,,0.885989785194397,,,
9.999998092651367,125.64413452148438,8,0.0008391999872401357,1799,,,,1.0834746360778809,,,
9.999999046325684,125.64791870117188,8,0.0008792000007815659,1849,,,,1.1611027717590332,,,
,,8.0,,1853,1.0994666814804077,-0.1084577664732933,5.341870307922363,,1.1320933103561401,-0.12795276939868927,0.6831367015838623
10.0,125.6502456665039,9,0.0009192000143229961,1899,,,,0.9531757831573486,,,
9.999998092651367,125.65554809570312,9,0.0009592000278644264,1949,,,,1.1947193145751953,,,
10.0,125.66839599609375,9,0.0009992000414058566,1999,,,,1.075445532798767,,,
10.000000953674316,125.6835708618164,9,0.0009607999818399549,2049,,,,1.5841116905212402,,,
,,9.0,,2059,1.1375069618225098,-0.15231077373027802,5.363154411315918,,1.024473786354065,-0.019904902204871178,0.6836707592010498
10.0,125.70155334472656,10,0.0009208000265061855,2099,,,,1.0829949378967285,,,
10.000001907348633,125.70417785644531,10,0.0008808000129647553,2149,,,,1.0835586786270142,,,
10.0,125.70647430419922,10,0.0008407999994233251,2199,,,,1.1793241500854492,,,
9.999998092651367,125.70625305175781,10,0.0008007999858818948,2249,,,,0.9752077460289001,,,
,,10.0,,2265,1.106492519378662,-0.11685065925121307,5.355350494384766,,1.012449860572815,-0.0077117145992815495,0.6846740245819092
10.0,125.70658874511719,11,0.0007607999723404646,2299,,,,1.3084924221038818,,,
10.0,125.7072982788086,11,0.0007208000170066953,2349,,,,1.0838805437088013,,,
10.000000953674316,125.70870971679688,11,0.000680800003465265,2399,,,,0.9519585371017456,,,
10.0,125.71138763427734,11,0.0006407999899238348,2449,,,,1.1163971424102783,,,
,,11.0,,2471,1.0647329092025757,-0.0735834389925003,5.351958274841309,,1.0457398891448975,-0.040983572602272034,0.6865603923797607
10.0,125.71245574951172,12,0.0006007999763824046,2499,,,,1.1566176414489746,,,
10.000000953674316,125.71241760253906,12,0.0005608000210486352,2549,,,,0.8785078525543213,,,
10.000000953674316,125.71154022216797,12,0.000520800007507205,2599,,,,0.9906080365180969,,,
9.999999046325684,125.71282196044922,12,0.0004807999939657748,2649,,,,1.0945062637329102,,,
,,12.0,,2677,1.0391894578933716,-0.04828166216611862,5.321316719055176,,1.0167824029922485,-0.01229907851666212,0.6860158443450928
10.0,125.7133560180664,13,0.000440800009528175,2699,,,,1.3146662712097168,,,
9.999999046325684,125.71499633789062,13,0.00040079999598674476,2749,,,,0.8609620332717896,,,
9.999999046325684,125.71467590332031,13,0.000360800011549145,2799,,,,1.046431541442871,,,
10.0,125.71498107910156,13,0.00032079999800771475,2849,,,,1.2504463195800781,,,
,,13.0,,2883,1.0355207920074463,-0.04392503574490547,5.355833053588867,,1.0154160261154175,-0.010823083110153675,0.6905763149261475
9.999999046325684,125.7153091430664,14,0.00028080001357011497,2899,,,,1.1585259437561035,,,
10.0,125.71569061279297,14,0.00024080000002868474,2949,,,,0.9999414682388306,,,
10.0,125.71542358398438,14,0.00020080000103916973,2999,,,,0.9079330563545227,,,
