(training) gnorm,(training) pnorm,epoch,lr,step,train_epoch_loss,train_epoch_r2,train_epoch_time,train_step_loss,val_epoch_loss,val_epoch_r2,val_epoch_time
,,0.0,,16,4101.88671875,-4354.75,2.7041525840759277,,38.61015319824219,-41.60883712768555,0.3324873447418213
,,1.0,,33,35.75233459472656,-33.912353515625,2.2612149715423584,,7.251828670501709,-6.85345458984375,0.3322784900665283
10.000000953674316,174.31192016601562,2,0.0009607999818399549,49,,,,10.466570854187012,,,
,,2.0,,50,7.950035572052002,-7.016277313232422,2.261867046356201,,1.7251986265182495,-0.8749284744262695,0.3324294090270996
,,3.0,,67,2.91141676902771,-1.9255294799804688,2.2608931064605713,,2.6574952602386475,-1.852296233177185,0.33230042457580566
,,4.0,,84,1.4334150552749634,-0.4653552770614624,2.2604732513427734,,1.143075704574585,-0.2305690497159958,0.332477331161499
10.0,174.24090576171875,5,0.0009208000265061855,99,,,,1.11954927444458,,,
,,5.0,,101,1.3421428203582764,-0.34480711817741394,2.260824203491211,,1.1077436208724976,-0.1954469233751297,0.33246397972106934
,,6.0,,118,1.1875799894332886,-0.17588667571544647,2.2612335681915283,,1.1839781999588013,-0.288463830947876,0.3324093818664551
,,7.0,,135,1.1753358840942383,-0.1635105013847351,2.2609565258026123,,1.7768107652664185,-0.9661229252815247,0.3323941230773926
9.999999046325684,174.24713134765625,8,0.0008808000129647553,149,,,,1.117584466934204,,,
,,8.0,,152,1.1594520807266235,-0.17157313227653503,2.2607462406158447,,1.2954314947128296,-0.3848842680454254,0.3322765827178955
,,9.0,,169,1.3628402948379517,-0.39697185158729553,2.260214328765869,,1.1070342063903809,-0.18620462715625763,0.3324916362762451
,,10.0,,186,1.0663138628005981,-0.06997060775756836,2.2601349353790283,,0.9923040270805359,-0.07206054776906967,0.3324587345123291
8.746112823486328,174.34596252441406,11,0.0008407999994233251,199,,,,1.1283656358718872,,,
,,11.0,,203,1.0128519535064697,-0.02729135751724243,2.2608981132507324,,1.3317275047302246,-0.4678104817867279,0.33249711990356445
,,12.0,,220,1.4500856399536133,-0.4641454815864563,2.260807752609253,,0.9672546982765198,-0.04793636128306389,0.33255815505981445
,,13.0,,237,1.013594388961792,-0.006401458289474249,2.260822296142578,,1.0332752466201782,-0.12820887565612793,0.33260440826416016
3.5436391830444336,174.54449462890625,14,0.0008007999858818948,249,,,,1.0046087503433228,,,
,,14.0,,254,0.9926919341087341,0.0011985301971435547,2.2616119384765625,,1.3000003099441528,-0.39561927318573,0.33258628845214844
,,15.0,,271,1.100399374961853,-0.09648112207651138,2.2617855072021484,,1.026276707649231,-0.1010735034942627,0.33247995376586914
,,16.0,,288,0.998297393321991,0.008553361520171165,2.2607250213623047,,0.9804184436798096,-0.06239835545420647,0.3324146270751953
9.999999046325684,174.93609619140625,17,0.0007607999723404646,299,,,,0.8764100074768066,,,
,,17.0,,305,0.9945254325866699,-0.011574882082641125,2.260714530944824,,0.9803246855735779,-0.06395375728607178,0.33217859268188477
,,18.0,,322,1.009904384613037,0.00016527666593901813,2.2609336376190186,,1.399790644645691,-0.4946638345718384,0.3325350284576416
,,19.0,,339,1.330592155456543,-0.3374369442462921,2.6374032497406006,,1.3500181436538696,-0.48266109824180603,0.3325328826904297
9.999999046325684,175.2065887451172,20,0.0007208000170066953,349,,,,0.9531500935554504,,,
,,20.0,,356,1.0168708562850952,-0.028153665363788605,2.2616665363311768,,1.3153098821640015,-0.4532667398452759,0.3321833610534668
,,21.0,,373,1.0190210342407227,-0.017710551619529724,2.261159658432007,,0.9950879216194153,-0.07590552419424057,0.3328056335449219
,,22.0,,390,0.9536974430084229,0.05108074098825455,2.262540578842163,,1.0640977621078491,-0.1449018269777298,0.3340308666229248
9.999998092651367,175.58773803710938,23,0.000680800003465265,399,,,,0.9146431088447571,,,
,,23.0,,407,0.92128586769104,0.07706727832555771,2.2702035903930664,,1.0946931838989258,-0.19905690848827362,0.33395934104919434
,,24.0,,424,0.9003394842147827,0.09011763334274292,2.2693264484405518,,1.0192164182662964,-0.10666569322347641,0.33409833908081055
,,25.0,,441,0.8736153244972229,0.11620326340198517,2.2712221145629883,,1.0979841947555542,-0.20318488776683807,0.33319830894470215
4.824098587036133,176.03111267089844,26,0.0006407999899238348,449,,,,0.878380298614502,,,
,,26.0,,458,0.8268606662750244,0.16732506453990936,2.272244930267334,,1.0668984651565552,-0.15404975414276123,0.33403968811035156
,,27.0,,475,0.7996072769165039,0.19735167920589447,2.2699828147888184,,1.082750678062439,-0.1748076230287552,0.334061861038208
,,28.0,,492,0.7918289303779602,0.19179223477840424,2.2723586559295654,,1.1511303186416626,-0.22319497168064117,0.33380722999572754
10.0,176.41844177246094,29,0.0006007999763824046,499,,,,0.804368793964386,,,
,,29.0,,509,0.776233971118927,0.2244338095188141,2.2715790271759033,,1.144726276397705,-0.24884319305419922,0.3341338634490967
